
Name,观感,原名,分类,开播时间,制作公司,comment
葬送的芙莉莲 第二季,,葬送のフリーレン 第2期,"TV, 奇幻, 日本, 漫画改",2026/01/16,MADHOUSE,
【我推的孩子】 第三季,,【推しの子】 第3期,"TV, 奇幻, 恋爱, 日本, 漫画改",2026/01/14,動画工房,
地狱乐 第二季,,地獄楽 第二期,"TV, 奇幻, 战斗, 日本, 漫画改",2026/01/11,MAPPA,
异国日记,,違国日記,"TV, 日常, 日本, 漫画改",2026/01/04,朱夏,
Fate/strange Fake,,Fate/strange Fake,"TV, 奇幻, 小说改, 战斗, 日本",2026/01/03,A-1 Pictures,
中国奇谭 第二季,,,"WEB, 中国, 原创, 奇幻",2026/01/01,上海美术电影制片厂,
双城之战 2,1,Arcane Season 2,"原创, 游戏衍生",2024/11/09,Fortiche Production,感觉就像三个导演弄出来的东西给剪一起去了。
魔王 2099,1,,轻改,2024/10/13,J.C.STAFF,有一说一抛开白毛女下属不谈，偏厕纸。很想在相关作品里面挂一个艾莉同学
青之箱,1,アオのハコ,漫改,2024/10/03,Telecom Animation Film,观感意外地还行儿，平淡而安逸
胆大党,3,ダンダダン,漫改,2024/10/03,Science SARU,依旧鬼灭之刃另类精神续作
败犬女主太多了！,2,負けヒロインが多すぎる！,轻改,2024/07/14,A-1 Pictures,这蓝毛真的太有女友感了。但是整体剧情也就一般般吧。
《小市民》系列 春季限定草莓挞事件,1,,轻改,2024/07/07,Lapin Track,很闷这个片子，和虚构推理一样的问题，看着人都想睡着了。
擅长逃跑的殿下,2,,漫改,2024/07/07,CloverWorks,首先这个片很有钱。苦大仇深的开局，然后流畅的高经费打斗，但是又各种穿插无厘头段子。鉴定为另类鬼灭之刃。
不时用俄语小声说真心话的邻桌艾莉同学,1,,轻改,2024/07/03,动画工房,女主角的塑造不如妹妹
我推的孩子 第二季,3,,漫改,2024/07/03,,哪个天才剪了个变格推理一样的 OP。 前 2集有点闷，后面渐入佳境。不过舞台剧的表现力其实有点差的。
为美好的世界献上祝福3,1,,轻改,2024/05/08,,属于是随时想拖条了。
无职转生 第二季 下半,1,,轻改,2024/04/07,Studio Bind,就和上半的观感差不多
Girls Band Cry,1,,原创,2024/04/05,,完成度很高，不过感觉扭曲程度不够。后面有点强行和解包饺子那味了。
我心里危险的东西 第二季,2,僕の心のヤバイやつ,漫改,2024/01/06,新锐动画,第一季后期转拉扯观感就有所下降。到这一季，依然还在缓慢推进感情线，整体观感更大打折扣。
迷宫饭,3,,漫改,2024/01/04,TRIGGER,异种族评鉴，但是全年龄版
憧憬成为魔法少女,2,魔法少女にあこがれて,漫改,2024/01/03,旭Production,不知道作者经历了什么，剥开色情的糖衣，隐约能看到很抑郁的痕迹
颂乐人偶,1,BanG Dream! Ave Mujica,"原创, 游戏衍生",2024/01/02,三次元,前十三集和后十三集互不否定。其实我感觉还挺有笑点的这片子。如果不是因为有前作定调，算是个还行的无厘头喜剧。
拾荒者统治,2,Scavengers Reign,原创,2023/10/19,"Green Street Pictures, Titmouse Inc.",《人与自然》但是外星球版。我看不太懂，但是小受震撼。黑女同性恋，老白男配亚女，要素拉满了。能不能整点金发大波浪。虽然人类组织的本质就是草台班子，但这几个人的水平，目测出省都能坐错火车，居然还能星际旅行。
间谍过家家 S2,2,,漫改,2023/10/07,,游轮篇突出一个拖沓。
葬送的芙莉莲,4,葬送のフリーレン,漫改,2023/09/29,MADHOUSE,一部浑然天成的作品。从未如此美妙的开局，进展，结尾。
你想活出怎样的人生,2,,"原创, 电影",2023/07/14,,中国大陆于次年上映。我觉得是导演本人最后一次的任性，对自己人生的复盘和回顾，然后最后给观众抛出问题——这就是我的一生，你想活出怎样的人生？
无职转生 2,1,,轻改,2023/07/02,Studio Bind,不记得之前说什么了，不过观感很舒服。制作太穷了吧。
BanG Dream! It's MyGO!!!!!,3,,"原创, 游戏衍生",2023/06/29,サンジゲン,"B站讨论度极高。全员没有正常人，前面节奏有点拖沓，从第 7 集开始超神，回头看草蛇灰线,伏脉千里。"
大奥,2,,"Netflix, 漫改",2023/06/29,Studio DEEN,非常严肃的一个片子，但是我总能在里面找到些奇怪的点。
我推的孩子,3,【推しの子】,漫改,2023/04/12,动画工房,制作有点穷，但是能看。可能是近几年最好的后宫动画。
鬼灭之刃 锻刀村篇,1,,漫改,2023/04/09,ufotable,这一季叙述节奏的问题比较大。ufotable现在也来教米哈游做回合制吧（无褒义）
无神世界的神明活动,1,神無き世界のカミサマ活動,漫改,2023/04/05,Studio Palette,依旧载入动画史的一幕。制作组尽力了，但是原作这个故事味同嚼蜡。用僵尸肉和地沟油做国宴了属于是。
我心里危险的东西,3,僕の心のヤバイやつ,漫改,2023/04/01,新锐动画,把尴尬留给男主角，把快乐留给观众。我心危好就好在，主角之间保持一种尴尬而若即若离的距离感，把欢乐留给观众。而别的一些片，主角跟猴子一样欢乐，把尴尬留给观众。但是到了后期男主各种不上道就有点生硬。
地狱乐,2,,漫改,2023/04/01,MAPPA,3集观感2星，总体偏俗套但是细节还行。从设定到剧情到制作都堪称是中规中矩的一部动画。
永不结束的初吻,3,,漫改,2023/04/01,A-1 Pictures,进主线以后段子含量急剧下降啊。
天国大魔境,3,,漫改,2023/04/01,Production I.G,虽然不知道后面要怎么展开，不过单单作为单元剧就还挺不错了。
铃芽之旅,2,すずめの戸締まり,"原创, 电影",2023/03/24,CoMix Wave Films,我感觉诚哥想搞个公路片，但是他有放不下他那B主线，就导致本片观感很奇怪，作为公路片喜剧效果是不足的，作为剧情看，很多地方动机又有问题，角色的工具性太强。
虚构推理 S2,1,,漫改,2023/01/08,,这季叙事节奏依然不行，作画还崩坏了。
中国奇谭,4,,原创,2023/01/01,V.A.,鹅鹅鹅这个短片确实给我吓到了。
电锯人,3,チェンソーマン,漫改,2022/10/11,MAPPA,原作党一直在骂，但是我觉得这片子的制作还行儿啊。
孤独摇滚,2,ぼっち・ざ・ろっく,漫改,2022/10/08,CloverWorks,制作组整活能力还可以，比其他轻百好看一点。追番看勉强两星，补番看一星。
机动战士高达：水星的魔女 （上半）,1,機動戦士ガンダム 水星の魔女,原创,2022/10/02,日昇动画,勉强能看。虽然讨论度极高，但是确实没意思哇。下半没看。
赛博朋克：边缘行者,3,Cyberpunk: Edgerunners,"Netflix, 原创, 游戏衍生",2022/09/13,TRIGGER,这个画风确实很有味道。好像讲了一个很梦幻的故事。但又好像什么都没讲
通往夏天的隧道，再见的出口,1,,轻改,2022/09/09,CLAP,被 OST 吸引而来。结合别人的评论看，这个片子应该是被毁原作了。时长不够砍掉的剧情太多。但是制作是挺好的。非常期待能改编 TV 动画啊。
瑞克和莫蒂 S6,2,Rick and Morty,原创,2022/09/04,"Harmonious Claptrap, Justin Roiland's Solo, Vanity Card Productions",确实是没活了，但这都第六季了不是吗。你在期待什么。
