Name,Created time,Tags,URL,author,author homepage
【硬件科普】如何合理科学的选择电源功率的大小？,2023/02/19,科普,https://www.bilibili.com/video/BV1Ab411d7zn/,硬件茶谈,https://space.bilibili.com/14871346
低端VS高端硬盘，在实际使用中到底有多大区别？,2023/11/06,科普,https://www.bilibili.com/video/BV1nN411G73P/,笔吧评测室,https://space.bilibili.com/367877
笔记本散热器大横评！一半都是智商税？！,2023/07/15,科普,https://www.bilibili.com/video/BV1oV411T7KP/,笔吧评测室,https://space.bilibili.com/367877
【硬核科普】硬盘的SATA M.2 NGFF NVME是什么意思，详解硬盘的总线协议与接口,2020/11/23,科普,https://www.bilibili.com/video/BV1Qv411t7ZL/,硬件茶谈,https://space.bilibili.com/14871346
关于流行音乐的深度研究：华语音乐已经完蛋了吗？,2023/01/12,科普,https://www.bilibili.com/video/BV1m8411P7v7/,小凡今天出片了吗,https://space.bilibili.com/35807625
英语字母居然这么来的? (字母表历史),2023/04/29,科普,https://www.bilibili.com/video/BV1g14y1Z714/,英语兔,https://space.bilibili.com/483162496
MyGo完结了，那我们就来一起聊聊它的op《壱雫空》吧,2023/09/16,科普,https://www.bilibili.com/video/BV1rz4y157Hp/,鸢梦Yumeko,https://space.bilibili.com/174595944
三个月从零入门深度学习，保姆级学习路线图,2021/11/10,教学,https://www.bilibili.com/video/BV1yg411K72z/,DASOU讲AI,https://space.bilibili.com/414678948
中科大郑烇、杨坚全套《计算机网络（自顶向下方法 第7版，James F.Kurose，Keith W.Ross）》课程,2021/01/07,教学,https://www.bilibili.com/video/BV1JV411t7ow/,中科大-郑烇老师,https://space.bilibili.com/410739029
手工开模！从图纸到现实！打造首把可伸缩—赤练剑！,2020/12/04,二创,https://www.bilibili.com/video/BV1nT4y1M7VT/,匠人菌,https://space.bilibili.com/10839322
【RE：从零开始，爱蜜莉雅想让我告白？】辉夜大小姐想让我告白？no，RE真正的op.Yes,2020/09/01,二创,https://www.bilibili.com/video/BV1JZ4y1T7Tp/,Zsy灬幽子,https://space.bilibili.com/7067325
【饥荒】饥荒的方式打开数码宝贝,2019/10/02,二创,https://www.bilibili.com/video/BV1fE411D7uQ/,咕咕小熊猫,https://space.bilibili.com/19804353
【派大星的独白】一个关于正常人的故事,2019/07/27,二创,https://www.bilibili.com/video/BV1qt411j7fV/,洛温阿特金森,https://space.bilibili.com/30222764
【白客vs桥本环奈】辉夜大小姐想让王大锤告白,2019/07/04,二创,https://www.bilibili.com/video/BV1f4411w763/,四月熙,https://space.bilibili.com/32945140
【误解向】用大片的方式打开小林家的龙女仆,2017/03/01,二创,https://www.bilibili.com/video/BV1gx41117kj/,尤弋,https://space.bilibili.com/1600108
【洛天依原创】为谁而为【手书pv】,2018/07/08,听歌,https://www.bilibili.com/video/BV1Cs411p7V3/,COPY,https://space.bilibili.com/396194
【星火行动】【乐正龙牙】10p.m.【COP】,2018/02/12,听歌,https://www.bilibili.com/video/BV1NW411E73G/,COPY,https://space.bilibili.com/396194
【miku】神的女儿们【温泉乡x空色幻奏】,2015/08/10,听歌,https://www.bilibili.com/video/BV17s411m7mn/,汤h,https://space.bilibili.com/2563683
珈乐：拉姐，你听我说...,2022/04/28,二创,https://www.bilibili.com/video/BV1VA4y1D7XR/,朔风晨,https://space.bilibili.com/23290115
小拉乱创,2022/01/29,二创,https://www.bilibili.com/video/BV1bq4y187DZ/,Protocol_III,https://space.bilibili.com/545392762
【翻唱】恐山ル・ヴォワール【漪月灵/唱见】,2020/11/27,听歌,https://www.bilibili.com/video/BV1Bz4y1k7vu/,漪月灵-Aether-,https://space.bilibili.com/1825301994
【Animenz】One Last Kiss - 新·福音战士剧场版：终 钢琴,2021/04/17,听歌,https://www.bilibili.com/video/BV1qy4y1x7VV/,Animenzzz,https://space.bilibili.com/6075139
【墨韵古筝】紅蓮華 - 鬼滅の刃OP——疯狂练习曲又来了,2021/03/19,听歌,https://www.bilibili.com/video/BV15b4y1Q71w/,墨韵Moyun,https://space.bilibili.com/2374194
【＋α／あるふぁきゅん。】吸血鬼,2021/05/13,听歌,https://www.bilibili.com/video/BV1Z44y167AF/,kttts,https://space.bilibili.com/10618733
【＋α／あるふぁきゅん。】抒情的话还不够,2021/04/29,听歌,https://www.bilibili.com/video/BV1e54y1j73K/,kttts,https://space.bilibili.com/10618733
【青溯】我没有歌能给你听【SYNTHESIZER V COVER】,2021/12/03,听歌,https://www.bilibili.com/video/BV1xb4y1B7FG/,Chasel懿辰,https://space.bilibili.com/10545143
【Animenz】炎 - 鬼灭之刃：无限列车篇,2021/03/08,听歌,https://www.bilibili.com/video/BV14K4y1D7QP/,Animenzzz,https://space.bilibili.com/6075139
日语学习：新标日课程0到N1，B站史上最好学的日语入门视频教程零基础学习日语轻松简单学,2020/06/20,教学,https://www.bilibili.com/video/BV1Bp4y1D747/,教日语的阿飞老师,https://space.bilibili.com/383433896
【日语课程】标日初级精讲BY萌萌哒葉子先生（叶子老师完整课程及后续中高级课程请看详情介绍）,2015/10/15,教学,https://www.bilibili.com/video/BV1es41127PE/,葉子先生酱,https://space.bilibili.com/10957838
疯狂动物城2：热门生物鉴定,2021/07/20,二创,https://www.bilibili.com/video/BV1qg411M7ND/,_青红造了个白_,https://space.bilibili.com/21778075
【四川音乐学院作曲硕士】零基础自学音乐学乐理合集-第二季（最终版）/已完结,2020/09/07,教学,https://www.bilibili.com/video/BV14p4y1e7TV/,三分钟音乐社,https://space.bilibili.com/7762500
新世纪海绵战士,2021/05/21,二创,https://www.bilibili.com/video/BV12A411G7KQ/,东仔阿尼,https://space.bilibili.com/1767227
「か」明明是“ka”，为什么经常能听到“ga”？？,2022/07/20,科普,https://www.bilibili.com/video/BV1vY4y1j726/,圈圈的奇妙日语,https://space.bilibili.com/266265576
我 推 的 波 奇 酱,2023/07/02,二创,https://www.bilibili.com/video/BV1DM4y177Wp/,凉风葱叶,https://space.bilibili.com/8699209
